Class Reg Sent	reported Rev Rec	Credits	Customer 	SO	Status	Date Booked	Ship Date	Internal Planning  Meeting	Customer Kick off Meeting	OnSite Start Date	"OnSite
End DateOnSite
End Date"	Release for Rev Rec	Wait Time	Booked to Kick off	Days to close	 $$ SO Amount 	Notes	Location	Region	Model Grp	Service	Account Team	Remote 	Onsite	Equiptment List Quick View	Shadow				Wait Time	Model Grp	Status	Region
		110	"SUMMIT MEDICAL GROUP PLLC
AT&T CORPORATION"	5700417	Booked	12/22/14	12/29/15						Standard	-41995	-41995	$11,000	1/15: David O sent intro, NEED TO FOLLOW UP	TN 	US	VPM	QS Lite	"David O
Bill Wells"	Sheldon		4400-P								
		150	"SAFEWAY INC
Accuvant"	5700988	In Process	12/26/14		1/9/15	1/10/15	1/15/15			Standard	15	-41999	$150,000		remote	US	VPM	QS Remote		Frank	na									
		70	FIRST NATIONAL BANK OF FORT SMITH	5700744	Booked	12/23/14			1/23/15				Customer	31	-41996	$7,000	"1/22: requested KO call 1/23?
Follow up with Phil regarding OS
2/6: sent updated PP w/Brent as DP engineer. Requested follow call with customer to get QS going
2/12: no response from the customer to get started
3/26: RESTART - PAUL Z IS GETTING NOT RESPONSE"	AK	US	VPM	2day OS (?)	"Matt
David O
Bill W"	Paul Z	Brent									
		70	"NYSIF
Anixter"	5703697	In Process	1/14/15	"1/23
2/3"		1/23/15	1/28/15			Customer	9	-42018	$7,000	"1/21: requested KO call
Barry install on 1/26-1/27
Sheldon provision 1/28
onsite not yet scheduled
3/26: checking in with Sheldon, the customer is moving really slowly. Estimated 2nd week of April "	NY	US	VPM	"QS Lite
ASE install"	"Carl
Kevin"	"Barry 
Sheldon"										
			Delta		Proposed				1/19/15					42023	0		discovery call 1/12 & 1/16		US	WLAN		Joe Woodwell											
		HI HOLD	USAF Lockheed CO	5705199	Booked	1/15/15	1/20/15							-42019	-42019		"1/15: Rick will send intro email to customer
2/3: followed up w/Rick"	CO	US	VPM	QS OS	"Rick Slominski
Zack Belcher"	Brent		4800 w/XG								
			Providence Health		Proposed									0	0		"1/21: discovery call
AM-215-day OJT in Seattle 4-6 people
AM-214 3-day open enrollment"			WLAN													
		150	FMC TECHNOLOGIES INC	5709048	Scheduled	1/31/15		2/20/15	2/27/15	4/20/15	25-Apr		Standard	27	-42035	 $15,000.00 	"5-day XG training - checking with Peter to determine who can deliver
Lisa will set up a kick off call about 3 weeks in advance of the class"	Houston TX	US	WLAN	AM-211 OJT TRNPNA	Todd Davis?											
		180	VON MAUR INC	5708410	Scheduled	1/29/15		2/26/15	2/26/15	5/5/15				28	-42033		"verify location
will contact customer this week (2/12)
2/26:scheduled"	IA 	US	VPM	QS OS	"GeoffreyPaul
Stephen Davis"	Sam O	Paul J									
			IBM CANADA	"3541392
3541419"	Complete									0	0	 $5,101.00 	Canada to deliver			WLAN	"AM/S9200 
AM/S9210"												
		260	Honeywell	5724531	Booked	4/2/15				05/01/15				-42096	-42096		"update SOW, need PO#
3/11: checked in w/Chris for status
3/26: PO in hand, lisa will schedule a planning meeting"			WLAN		Chris Wilson											
			Hawaii Health		Proposed									0	0		"Pending Tax registration - HOLD off for merger or use a reseller.
Scott to go direct, waiting to hear back from Linda Ta"			WLAN		Linda Ta											
		150	LIBERTY UNIVERSITY	5712281	Scheduled	2/12/15	"2/27
3/15"	3/9	3/11/15	03/24/15				27	-42047	 $15,000.00 	"2/17: emailed Chuck and Jason for contact information and intro
2/23: contacted customer with welcome. Will send tracking information on 3/1
3/11: Chris Daniel will provide VOIP support. First Webext session scheduled to start 3/24"	VA	US	VPM	QS Remote	"Chuck Smith
Jason Cornwell"	Sam O		VOIP								
		56	LaSalle Solutions	5722868	Booked	3/27/15				04/08/15				-42090	-42090		"2/24: SOW proposed
3/11: followed/up
3/signed the SOW with added fee for LT travel"			WLAN		Todd Davis?											
		180	CENTER FOR DIAGNOSTIC IMAGING	5717472	In Process	3/4/15	3/20/15		4/7/15					34	-42067	 $18,000.00 	"5775 Wayzata Blvd Ste 190
ST LOUIS PARK, MN 55416
US"	MN	US	VPM	QS OS	"Steven Davis
David Parker"			5200 w/taps								
completed			AGILITY HOLDINGS INC	5678192	In Process	9/23/14			9/30/14	10/15/15			Customer	7	-41905		"global distributed system first went to Irvin, CA for config then they shipped (Kuwait, Singapor, others) 
Phil had me close the QS  in 2014. keep open for class registration for Vincent. He will let me know when they are ready
3/20: this is still in process"		US	VPM	4 seats to TV training 	Michael Jett	Frank										
		44	ST MARY'S UNIVERSITY	5718959	Booked	3/11/15										 $4,400.00 	"44 Training Credits to be used for these classes and secure AirMagnet Training Certification: 
AM-101 (18 credits) 
AM-214 (26 credits) "			WLAN		Chris Wilson											
		140	ACXIOM CORPORATION	5718433	Scheduled	3/10/15				04/27/15				-42073	-42073	 $14,000.00 				VPM	TV Class												
		180	Bay District Schools	5719583	Scheduled	3/13/15	"3/20
3/27"		4/1/15	04/28/15				19	-42076		webex 1 4/14	Fla	US	VPM	QS OS	"Dave B
Chuck
Ray"	Sam O	"Dennis
WiTs shadow"	6200 w/taps	"Tom Molczynski                                                                               
tomm@wirelesstrainingsolutions.com
(973) 531-7627

Jesse Hunton
(404) 247-1352
jhunton@wirelesstrainingsolutions.com
"							
			Canada Blood Services	30744263	Scheduled	3/16/15	3/27/15		3/20/15	05/12/15				4	-42079		"3/16: PO in hand, with OE
webex scheduled for 3/30 & 3/31"	Canada	US	VPM	QS OS	Arne	Sam O	Paul J	distributed								
		180	State of Arizona Department of Economic Security	5721337	In Process	3/20/15	"3/30
4/17"	4/2	4/8/15					19	-42083		"PO in hand
3/25: contacted with shipping and request for KO call"	Az	US	VPM	"QS OS
VSS"	"Mike Jett
Trish Gundy"			6200 w/XG								
		70	SEATTLE CHILDREN'S HOSPITAL	5719579	Booked	3/16/15											I will ping Bonnie			WLAN		Bonnie											
		200	TIME WARNER CABLE INC	5723118	Booked	3/31/15				04/28/15	4/30/15					 $15,000.00 	3-day onsite	NY	US	WLAN	AM-214	Matt											
			BERKLEY TECHNOLOGY SERVICES (Phase III) UK Install	"30746821
7082616 (-)"	In Process	3/19/15	4/10/15		4/7/15					19	-42082		UK installation		EMEA	VPM	QS Remote	"Carl
Kevin"	Frank										
			BURLINGTON NORTHERN & SANTA FE RAILWAY COMPANY	5722423	Scheduled	3/25/15		3/31	4/2/15	05/19/15				8	-42088		QuickStart is to address support for customization. They have 2 6200's and 2 4800's already installed	Fort Worth TX	US	VPM	QS OS	"Matt
Bill
David O"		Paul J	QuickStart is to address support for customization. They have 2 6200's and 2 4800's already installed								
		258	Georgia Pacific	5714231	Complete	2/19/15				03/09/15	3/15/15			-42054	-42054		"3/27: working to schedule a report date
close out today . 4/2"			WLAN		Vangie											
		28	Hillenbrand | Batesville Services | Batesville?	5723011	Booked	3/27/15											PO received 3/26.			VPM	2 seats	david P											
		292	Charles Schwab		Proposed												27-Mar			WLAN	AM211 OJT	Chris Wilson											
		70	CARNIVAL CRUISE LINE	5642240	Booked	3/26/15											2day?			CSN													
		180	TRANSFIRST LLC	5723113	Booked	3/26/15										 $18,000.00 		Irvine CA or CO	US	VPM	QS OS	"Michael Jett
Trish Gundy"			6200 (2)								
			Parker.com		Proposed												1-Apr			WLAN		David Walker											
		375	State of Arizona Department of Economic Security	5721337	In Process	3/20/15		4/2	4/8/15									Az	US	VPM	1/4ly health checks	"Michael Jett
Trish Gundy"											
